x,y
-203.6521467127371,-499.52699893186036
-203.19081481576166,-499.33425712467835
-202.72011457779084,-499.165680310396
-202.24941433982002,-498.99710349611365
-201.76094355023292,-498.8903748992695
-201.27247276064583,-498.7836463024253
-200.7785269749124,-498.7060752203218
-200.28313578817946,-498.6383440899777
-199.78774460144652,-498.5706129596336
-199.29175279239274,-498.5074350786949
-198.79576098333897,-498.44425719775626
-198.2978846926738,-498.3982397092798
-197.80000840200861,-498.3522222208033
-197.30213211134344,-498.3062047323268
-196.80309873754925,-498.2751679901047
-196.30406536375506,-498.2441312478826
-195.80407500323605,-498.24266015328135
-195.30408464271704,-498.2411890586801
-194.80409428219804,-498.23971796407886
-194.30453085538653,-498.2603865137765
-193.80496742857503,-498.2810550634741
-193.5685464879498,-498.29083656007424
-193.070514763013,-498.33498151357
-192.5724830380762,-498.3791264670658
-192.0760187289728,-498.43831631133145
-191.5795544198694,-498.4975061555971
-191.083090110766,-498.5566959998627
-190.58916717250358,-498.63426338821824
-190.09524423424116,-498.7118307765738
-189.60312075718275,-498.8000366728463
-189.11099728012434,-498.88824256911886
-188.61887380306592,-498.9764484653914
-188.12873080760087,-499.075003893399
-187.63858781213582,-499.17355932140663
-187.14844481667078,-499.27211474941424
-186.6604764750826,-499.38088909057836
-186.1725081334944,-499.4896634317425
-185.68453979190622,-499.5984377729066
-185.19825605480455,-499.7144965251632
-184.71197231770287,-499.8305552774198
-184.227998497649,-499.955807941149
-183.74402467759512,-500.08106060487813
-183.26369381966842,-500.2194764348753
-182.78336296174172,-500.3578922648724
-182.75021421018755,-500.3674446637742
-182.27364629346903,-500.5186423225196
-181.7970783767505,-500.669839981265
-181.30899832679225,-500.77825628304754
-180.820918276834,-500.8866725848301
-180.33283822687574,-500.9950888866126
-179.83893216264093,-501.07275601622905
-179.34502609840612,-501.1504231458455
-178.84676193217885,-501.1916032178372
-178.34849776595158,-501.23278328982894
-177.8502335997243,-501.2739633618207
-177.35196943349703,-501.3151434338124
-176.85202934906903,-501.3175442468928
-176.35208926464102,-501.3199450599732
-175.85214918021302,-501.32234587305356
-175.35432611431304,-501.27614076816536
-174.85650304841306,-501.22993566327716
-174.35867998251308,-501.18373055838896
-173.8608569166131,-501.13752545350076
-173.36893836239557,-501.04809555103367
-172.87701980817803,-500.9586656485666
-172.39273668265125,-500.83434545561346
-171.90845355712446,-500.71002526266034
-171.42417043159767,-500.5857050697072
-170.9398873060709,-500.4613848767541
-170.4673879893698,-500.2978787833798
-169.9948886726687,-500.13437269000553
-169.5399688066768,-499.9268974642618
-169.08504894068489,-499.71942223851806
-168.63012907469297,-499.5119470127743
-168.17520920870106,-499.3044717870306
-167.74162161610354,-499.0554706080389
-167.30803402350602,-498.8064694290472
-166.8744464309085,-498.5574682500555
-166.4692140371336,-498.2645838948161
-166.06398164335872,-497.9716995395767
-165.65874924958382,-497.67881518433734
-165.25351685580893,-497.38593082909796
-164.8794266946979,-497.05420791236725
-164.5053365335869,-496.72248499563653
-164.15726914749024,-496.36355968531285
